id,date,name,price,volume
1136951,2025-07-16,COF,216.62,3272000
1136944,2025-07-16,COIN,398.2,13388000
1137108,2025-07-16,COLB,23.88,1570000
1137013,2025-07-16,CRBG,34.75,2551000
1137123,2025-07-16,CRCL,233.2,43390427
1137121,2025-07-16,CRVL,97.08,164397
1136965,2025-07-16,DB,30.15,2589000
1137115,2025-07-16,DNB,9.12,2858000
1137029,2025-07-16,EG,331.91,298799
1137024,2025-07-16,EQH,51.72,2312000
1137017,2025-07-16,ERIE,348.26,60545
1137088,2025-07-16,ESNT,55.88,1029000
1137045,2025-07-16,EVR,293.86,545653
1137027,2025-07-16,EWBC,105.51,968696
1137094,2025-07-16,FAF,55.45,1413000
1137090,2025-07-16,FCFS,130.62,129524
1136993,2025-07-16,FCNCA,2084.48,69019
1137023,2025-07-16,FDS,436.33,252066
1137102,2025-07-16,FFIN,36.32,507606
1137116,2025-07-16,FG,30.96,163236
1137039,2025-07-16,FHN,21.66,9572000
1136994,2025-07-16,FITB,43.05,7020000
1137111,2025-07-16,FLG,11.16,5300000
1137097,2025-07-16,FNB,15.51,3882000
1137028,2025-07-16,FNF,53.3,1735000
1137084,2025-07-16,FSK,22.26,1183000
1137012,2025-07-16,FUTU,143.59,2426000
1137103,2025-07-16,GBCI,45.02,853000
1137048,2025-07-16,GL,119.9,404650
1136921,2025-07-16,GS,708.82,3319000
1137004,2025-07-16,HBAN,16.64,39810000
1136928,2025-07-16,HDB,75.7,1833000
1136981,2025-07-16,HIG,120.55,1699000
1137031,2025-07-16,HLI,194.5,498663
1137059,2025-07-16,HLNE,151.95,353963
1137096,2025-07-16,HOMB,28.52,1593000
1136947,2025-07-16,HOOD,103.25,52827000
1136925,2025-07-16,HSBC,62.54,2168000
1137000,2025-07-16,IBKR,59.45,5973000
1136938,2025-07-16,IBN,33.27,2824000
1136942,2025-07-16,ICE,180.8,1630000
1136958,2025-07-16,ING,22.67,3285000
1137066,2025-07-16,IVZ,16.88,5831000
1137105,2025-07-16,IX,22.28,131376
1137042,2025-07-16,JEF,54.98,1329000
1137078,2025-07-16,JHG,41.02,983412
1136917,2025-07-16,JPM,285.82,9974000
1137081,2025-07-16,JXN,86.34,561046
1136988,2025-07-16,KB,82.41,211865
1137018,2025-07-16,KEY,17.97,24751000
1136936,2025-07-16,KKR,143.05,4863000
1137044,2025-07-16,KNSL,484.87,319702
1137014,2025-07-16,L,90.94,809479
